5.	19.68174
4.9	20.26132
4.8	20.89127
4.7	21.46361
4.6	22.00832
4.5	22.59868
4.4	23.11376
4.3	23.65174
4.2	24.15072
4.1	24.66723
4.	25.07625
3.9	25.52654
3.8	25.9367
3.7	26.31545
3.6	26.66956
3.5	27.0377
3.4	27.31515
3.3	27.6205
3.2	27.86238
3.1	28.0991
3.	28.29528
2.9	28.54335
2.8	28.68676
2.7	28.8184
2.6	28.94806
2.5	29.06171
2.4	29.15059
2.3	29.21863
2.2	29.24326
2.1	29.27939
2.	29.2419
1.9	29.20975
1.8	29.16367
1.7	29.04678
1.6	28.96893
1.5	28.83461
1.4	28.68976
1.3	28.50031
1.2	28.35124
1.1	28.1303
1.	27.87532
0.9	27.71458
0.8	27.44565
0.7	27.24432
0.6	27.04673
0.5	26.81187
0.4	26.69016
0.3	26.52378
0.2	26.42424
0.1	26.38062
0.	26.37266
-0.1	26.40251
-0.2	26.53396
-0.3	26.66269
-0.4	26.83098
-0.5	27.024
-0.6	27.23083
-0.7	27.45496
-0.8	27.639
-0.9	27.84876
-1.	28.03801
-1.1	28.26623
-1.2	28.36806
-1.3	28.45864
-1.4	28.51827
-1.5	28.51559
-1.6	28.52697
-1.7	28.45247
-1.8	28.37884
-1.9	28.21069
-2.	28.07415
-2.1	27.87487
-2.2	27.6316
-2.3	27.3579
-2.4	27.03642
-2.5	26.671
-2.6	26.36735
-2.7	25.95053
-2.8	25.56031
-2.9	25.12717
-3.	24.6996
-3.1	24.25041
-3.2	23.77967
-3.3	23.35915
-3.4	22.87238
-3.5	22.35185
-3.6	21.93164
-3.7	21.46552
-3.8	20.95894
-3.9	20.4632
-4.	19.95074
-4.1	19.40563
-4.2	18.90315
-4.3	18.36357
-4.4	17.80943
-4.5	17.2854
-4.6	16.72419
-4.7	16.19159
-4.8	15.62278
-4.9	15.05676
-5.	14.47337
